,star_name,planet_discovery_method,mass,radius
0,1,,,
1,1.71,,,
2,71,,,
3,1.2,,,
4,26,,,
5,2.7,,,
6,12,,,
7,78.9,,,
8,1.9,,,
9,950,,,
10,9.3,,,
11,8.6,,,
12,1.8,,,
13,8.9,,,
14,44,,,
15,680,,,
16,7.47,,,
17,8.8,,,
18,1.8,,,
19,203,,,
20,8.4,,,
21,3.1,,,
22,14,,,
23,8.8,,,
24,2.4,,,
25,84,,,
26,5.8,,,
27,4.2,,,
28,6.8,,,
29,42,,,
30,6,,,
31,3.4,,,
32,4.2,,,
33,20,,,
34,30,,,
35,68,,,
36,200,,,
37,26,,,
38,6.8,,,
39,130,,,
40,3.4,,,
41,2.77,,,
42,92,,,
43,3.3,,,
44,4.8,,,
45,2.9,,,
46,10,,,
47,39,,,
48,50,,,
49,16.5,,,
50,95,,,
51,140,,,
52,280,,,
53,0.893,,,
54,1.22,,,
55,0.74,,,
56,485,,,
57,60â€“881,,,
58,44.5,,,
59,972,,,
60,1.48,,,
61,636-981,,,
62,76,,,
63,129 - 342,,,
64,"516 - 1,050",,,
65,0.665,,,
66,298,,,
67,3.74,,,
68,85,,,
69,0.94,,,
70,370,,,
71,"1,158",,,
72,0.51,,,
73,380 - 750,,,
74,1.4,,,
75,3.4,,,
76,"1,420",,,
77,320,,,
78,380,,,
79,755,,,
80,0.20,,,
81,?,,,
82,0.15,,,
83,1.58,,,
84,32,,,
85,21.1,,,
86,0.39,,,
87,14.47,,,
88,0.99,,,
89,0.21,,,
90,"1,640 - 2,770",,,
91,0.10,,,
92,"1,540 - 1,730",,,
93,0.12,,,
94,0.086,,,
95,?,,,
96,?,,,
97,,,,
